Agency,State,Months,Population,ViolentCrimerate,Propertycrimerate
Springfield Police Dept,MO,12,165280,1186.5,7646.4
St. Louis Police Dept,MO,12,318574,1678.7,6252.6
St. Paul Police Dept,MN,12,297984,662.5,3484.4
St. Petersburg Police Dept,FL,12,250772,864.9,5642.6
Stamford Police Dept,CT,12,127385,243.4,1619.5
Sterling Heights Police Dept,MI,12,131604,160.3,1537.2
Stockton Police Dept,CA,12,299519,1331.5,4389.7
Sunnyvale Dept Of Public Safety,CA,12,149384,111.8,1577.1
Surprise Police Dept,AZ,12,125049,109.6,1678.5
Syracuse Police Dept,NY,12,144534,810.9,3981.8
Tacoma Police Dept,WA,12,204722,798.2,6241.6
Tallahassee Police Dept,FL,12,187573,937.2,4840.8
Tampa Police Dept,FL,12,357124,582.4,2427.7
Temecula,CA,12,108308,92.3,2340.5
Tempe Police Dept,AZ,12,169812,470.5,4737
Thornton Police Dept,CO,12,129442,254.9,2904.8
Thousand Oaks,CA,12,129175,99.1,1237.9
Toledo Police Dept,OH,12,281150,1091.2,
Topeka Police Dept,KS,12,127673,509.9,4903.2
Torrance Police Dept,CA,12,147971,104.8,1772.6
Tucson Police Dept,AZ,12,527328,652.9,
Tulsa Police Dept,OK,12,399556,805.1,5081.6
Tyler Police Dept,TX,12,100969,462.5,4050.7
Vallejo Police Dept,CA,12,119504,865.2,4081
Vancouver Police Dept,WA,12,168688,343.8,3118.2
Ventura Police Dept,CA,12,109246,252.6,3539.7
Victorville,CA,12,122316,524.9,3576
Virginia Beach Police Dept,VA,12,451102,147.9,2186.9
Visalia Police Dept,CA,12,128488,376.7,2954.4
City Of Waco Police Dept,TX,12,129944,443.3,3854.7
Warren Police Dept,MI,12,135080,478.2,2549.6
Washington Metropolitan Police Dept,DC,12,658893,1185.3,5012.5
Waterbury Police Dept,CT,12,109495,372.6,4192.9
West Covina Police Dept,CA,12,108136,208.1,2618.9
West Jordan Police Dept,UT,12,111618,190.8,1859
West Palm Beach Police Dept,FL,12,103028,824,4647.3
West Valley Police Dept,UT,12,134590,472.5,4446.1
Westminster Police Dept,CO,12,112100,233.7,2913.5
Wichita Police Dept,KS,12,387493,758.5,4722.9
Wichita Falls Police Dept,TX,12,104949,405.9,4057.2
Wilmington Police Dept,NC,12,113418,675.4,4560.1
Winston-Salem Police Dept,NC,12,238082,712.4,5416.6
Woodbridge Police Dept,NJ,12,100969,114.9,1797.6
Worcester Police Dept,MA,12,183248,964.8,3062.5
Yonkers Police Dept,NY,12,200624,487,1001.4
